valtyp,lÌ_nsnr,lÌ_n,kommunnr,kommun,valkretsnr,valkrets,parti,tilltrÌ_desdatum,invalsordning,personvald,fÌ¦rnamn,efternamn,Ì´lder,kÌ¦n,lista,listplats,kandidatnr
R,,,,,11,MalmÌ¦ kommun,SD,,1,,Anders,Forsberg,40,M,0110-08275,29,479480
R,,,,,11,MalmÌ¦ kommun,SD,,2,,Jennie,ÌÉfeldt,40,K,0110-08275,48,316958
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,M,,1,,Jonas,Jacobsson GjÌ¦rtler,41,M,Jan-53,1,275085
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,M,,2,,Ann-Charlotte,Hammar Johnsson,48,K,Jan-53,2,278539
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,M,,3,,Thomas,Finnborg,60,M,Jan-53,3,426942
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,FP,,1,personvald,Torkild,Strandberg,44,M,Mar-24,1,353615
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,S,,1,personvald,Kent,HÌ_rstedt,49,M,Feb-37,3,358530
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,S,,2,personvald,Niklas,Karlsson,40,M,Feb-37,1,358528
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,S,,3,,Yasmine,Larsson,26,K,Feb-37,2,358529
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,S,,4,,Lena,Emilsson,57,K,Feb-37,4,358531
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,MP,,1,,Rickard,Persson,54,M,0055-09430,1,276270
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,SD,,1,,Aron,Emilsson,24,M,0110-08275,23,443678
R,,,,,12,SkÌ´ne lÌ_ns vÌ_stra,SD,,2,,Roger,Richtoff,65,M,0110-08275,36,438544
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,M,,1,,Anders,Hansson,38,M,Jan-52,1,426468
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,M,,2,,Boriana,ÌÉberg,45,K,Jan-52,2,331016
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,M,,3,,Ewa,ThalÌ©n FinnÌ©,55,K,Jan-52,3,339165
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,M,,4,,Gunilla,Nordgren,57,K,Jan-52,4,339481
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,C,,1,personvald,Kristina,Yngwe,31,K,Apr-86,2,174994
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,FP,,1,personvald,Mats,Persson,33,M,Mar-25,1,353508
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,KD,,1,,Sofia,Damm,37,K,0068-07832,2,281730
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,S,,1,,Morgan,Johansson,44,M,Feb-36,1,358418
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,S,,2,,Kerstin,Nilsson,58,K,Feb-36,2,358419
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,S,,3,,Rikard,Larsson,48,M,Feb-36,3,358420
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,MP,,1,personvald,Karin,Svensson Smith,58,K,0055-08647,1,277171
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,SD,,1,,Pavel,Gamov,24,M,0110-08275,27,479478
R,,,,,13,SkÌ´ne lÌ_ns sÌ¦dra,SD,,2,,Patrik,JÌ¦nsson,41,M,0110-08275,32,303262
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,M,,1,,Hans,Wallmark,49,M,Jan-51,1,340823
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,M,,2,,Maria,Malmer Stenergard,33,K,Jan-51,2,430039
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,M,,3,,Anette,ÌÉkesson,48,K,Jan-51,3,279451
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,C,,1,personvald,Per-Ingvar,Johnsson,70,M,Apr-08,1,174370
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,FP,,1,personvald,Christer,Nylander,45,M,Mar-26,1,353423
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,KD,,1,personvald,Tuve,SkÌ´nberg,58,M,0068-07818,2,281728
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,S,,1,,Annelie,Karlsson,49,K,Feb-34,1,445105
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,S,,2,,Per-Arne,HÌ´kansson,51,M,Feb-34,2,362400
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,S,,3,,Anna,Wallentheim,29,K,Feb-34,3,359828
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,MP,,1,personvald,Gustav,Fridolin,31,M,0055-07797,1,373927
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,SD,,1,,Kent,Ekeroth,33,M,0110-08273,15,479466
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,SD,,2,,Linus,Bylund,36,M,0110-08273,31,475405
R,,,,,14,SkÌ´ne lÌ_ns norra och Ì¦stra,SD,,3,,Johan,Nissinen,25,M,0110-08273,49,479500
R,,,,,15,Hallands lÌ_n,M,,1,personvald,JÌ¦rgen,Warborn,45,M,Jan-22,1,468638
R,,,,,15,Hallands lÌ_n,M,,2,,Michael,Svensson,57,M,Jan-22,2,489689
R,,,,,15,Hallands lÌ_n,M,,3,,Jenny,Petersson,33,K,Jan-22,3,489690
R,,,,,15,Hallands lÌ_n,C,,1,personvald,Ola,Johansson,53,M,Apr-41,1,400886
R,,,,,15,Hallands lÌ_n,FP,,1,,Bengt,Eliasson,53,M,Mar-50,1,387352
R,,,,,15,Hallands lÌ_n,KD,,1,personvald,GÌ¦ran,HÌ_gglund,55,M,0068-06965,1,178624
R,,,,,15,Hallands lÌ_n,S,,1,personvald,Adnan,Dibrani,29,M,Feb-54,3,365706
R,,,,,15,Hallands lÌ_n,S,,2,,Hans,Hoff,51,M,Feb-54,1,365704
R,,,,,15,Hallands lÌ_n,S,,3,,Jennie,Nilsson,42,K,Feb-54,2,365705
R,,,,,15,Hallands lÌ_n,MP,,1,,Agneta,BÌ¦rjesson,56,K,0055-08284,1,487504
R,,,,,15,Hallands lÌ_n,SD,,1,,Johnny,Skalin,36,M,0110-08275,12,390594
R,,,,,15,Hallands lÌ_n,SD,,2,,Jeff,Ahl,27,M,0110-08275,46,479497
R,,,,,16,GÌ¦teborgs kommun,M,,1,,Lars,HjÌ_lmered,37,M,Jan-55,1,468639
R,,,,,16,GÌ¦teborgs kommun,M,,2,,Cecilia,Magnusson,52,K,Jan-55,2,484928
R,,,,,16,GÌ¦teborgs kommun,M,,3,,Hans,Rothenberg,52,M,Jan-55,3,484929
R,,,,,16,GÌ¦teborgs kommun,M,,4,,Lisbeth,SundÌ©n Andersson,64,K,Jan-55,4,484930
R,,,,,16,GÌ¦teborgs kommun,C,,1,,Rickard,Nordin,31,M,Apr-72,2,376924
R,,,,,16,GÌ¦teborgs kommun,FP,,1,personvald,Robert,Hannah,29,M,Mar-54,5,422053
R,,,,,16,GÌ¦teborgs kommun,KD,,1,,Aron,Modig,29,M,0068-08483,2,504189
R,,,,,16,GÌ¦teborgs kommun,S,,1,personvald,Anna,Johansson,43,K,Feb-03,1,497294
R,,,,,16,GÌ¦teborgs kommun,S,,2,,Mattias,Jonsson,40,M,Feb-03,2,497295
R,,,,,16,GÌ¦teborgs kommun,S,,3,,Gunilla,Carlsson,48,K,Feb-03,3,497296
